법정동,계약년도,계약월,평당가격,지역
개포동,2023,10,2974.4314285714286,서울
개포동,2023,11,2797.2110000000002,서울
개포동,2023,12,3024.081111111111,서울
개포동,2024,1,3084.2699999999995,서울
개포동,2024,2,3087.0163888888887,서울
개포동,2024,3,2998.1482,서울
개포동,2024,4,3030.7040625,서울
개포동,2024,5,3043.414716981132,서울
개포동,2024,6,3172.248396226415,서울
개포동,2024,7,3197.497888888889,서울
개포동,2024,8,3240.6505714285718,서울
개포동,2024,9,3091.3865789473684,서울
개포동,2024,10,3359.0470454545457,서울
개포동,2024,11,3308.246129032258,서울
개포동,2024,12,3279.950714285714,서울
개포동,2025,1,3413.5867741935485,서울
개포동,2025,2,3463.9956666666667,서울
거여동,2020,1,1184.658260869565,서울
거여동,2020,2,1040.9644444444446,서울
거여동,2020,3,1319.6283333333333,서울
거여동,2020,4,1196.2711111111112,서울
거여동,2020,5,1208.5326666666665,서울
거여동,2020,6,1211.7766666666666,서울
거여동,2020,7,1251.7290625,서울
거여동,2020,8,1226.6482352941177,서울
거여동,2020,9,1247.0476470588237,서울
거여동,2020,10,1370.790909090909,서울
거여동,2020,11,1356.664,서울
거여동,2020,12,1350.8108000000002,서울
거여동,2021,1,1296.132,서울
거여동,2021,2,1406.34875,서울
거여동,2021,3,1427.8619047619047,서울
거여동,2021,4,1464.3333333333333,서울
거여동,2021,5,1556.1323809523808,서울
거여동,2021,6,1639.1366666666665,서울
거여동,2021,7,1495.9930769230768,서울
거여동,2021,8,1642.42,서울
거여동,2021,9,1865.53,서울
거여동,2021,10,1659.9099999999999,서울
거여동,2021,11,2074.36,서울
거여동,2021,12,1948.5725,서울
거여동,2022,1,2048.72,서울
거여동,2022,2,1943.635,서울
거여동,2022,3,1467.9733333333334,서울
거여동,2022,4,1614.19,서울
거여동,2022,5,1775.99,서울
거여동,2022,6,1416.6575,서울
거여동,2022,7,1761.7699999999998,서울
거여동,2022,8,1762.2066666666667,서울
거여동,2022,10,1226.3766666666668,서울
거여동,2022,12,1694.92,서울
거여동,2023,1,1504.058,서울
거여동,2023,2,1462.93125,서울
거여동,2023,3,1684.441111111111,서울
거여동,2023,4,1433.3552631578948,서울
거여동,2023,5,1368.2429411764706,서울
거여동,2023,6,1457.9155555555556,서울
거여동,2023,7,1577.1052,서울
거여동,2023,8,1587.245,서울
거여동,2023,9,1541.051,서울
거여동,2023,10,1340.8936363636365,서울
거여동,2023,11,1438.562,서울
거여동,2023,12,1446.7245454545455,서울
거여동,2024,1,1417.2053333333336,서울
거여동,2024,2,1441.0477777777778,서울
거여동,2024,3,1544.2573684210527,서울
거여동,2024,4,1637.3918181818183,서울
