공급지역코드,공급규모,투기과열지구,조정대상지역,분양가상한제,정비사업,공공주택지구,대규모택지개발지구,수도권내민영공공주택지구,공급세대수,순위,거주지역,접수건수,경쟁률,최저당첨가점,토픽 1,토픽 2,토픽 3,토픽 4,토픽 5,토픽 6,토픽 7,법정동코드,시세차익
100,190,N,N,N,N,N,N,N,19,1순위,해당지역,366,19.26,49.0,0.2030999999999999,0.3118,0.0078,0.0059333333333333,0.4540333333333333,0.0008666666666666,0.0165333333333333,1153010700.0,771246878.6542739
100,190,N,N,N,N,N,N,N,22,1순위,해당지역,457,20.77,50.0,0.2030999999999999,0.3118,0.0078,0.0059333333333333,0.4540333333333333,0.0008666666666666,0.0165333333333333,1153010700.0,998524443.4829129
100,190,N,N,N,N,N,N,N,23,1순위,해당지역,220,9.57,42.0,0.2030999999999999,0.3118,0.0078,0.0059333333333333,0.4540333333333333,0.0008666666666666,0.0165333333333333,1153010700.0,993424597.6489697
100,190,N,N,N,N,N,N,N,11,1순위,해당지역,50,4.55,40.0,0.2030999999999999,0.3118,0.0078,0.0059333333333333,0.4540333333333333,0.0008666666666666,0.0165333333333333,1153010700.0,998524361.4986515
100,190,N,N,N,N,N,N,N,2,1순위,해당지역,49,24.5,50.0,0.2030999999999999,0.3118,0.0078,0.0059333333333333,0.4540333333333333,0.0008666666666666,0.0165333333333333,1153010700.0,1389924494.2775097
410,171,N,N,N,N,N,N,N,1,1순위,해당지역,4,4.0,27.0,0.0497333333333333,0.0010333333333333,0.1696666666666666,0.0010333333333333,0.1294666666666666,0.4689,0.1802666666666667,4146311300.0,897983872.4588509
100,771,N,N,N,N,N,N,N,116,1순위,해당지역,0,14.52,53.0,0.1723,0.0483666666666666,0.0606333333333333,0.0262333333333333,0.3591999999999999,0.0684333333333333,0.2648,1159010200.0,1030997378.8859168
100,771,N,N,N,N,N,N,N,19,1순위,해당지역,336,17.68,57.0,0.1723,0.0483666666666666,0.0606333333333333,0.0262333333333333,0.3591999999999999,0.0684333333333333,0.2648,1159010200.0,1024717204.9877305
100,771,N,N,N,N,N,N,N,78,1순위,해당지역,444,5.69,46.0,0.1723,0.0483666666666666,0.0606333333333333,0.0262333333333333,0.3591999999999999,0.0684333333333333,0.2648,1159010200.0,1264656413.4498284
100,771,N,N,N,N,N,N,N,98,1순위,해당지역,0,11.82,53.0,0.1723,0.0483666666666666,0.0606333333333333,0.0262333333333333,0.3591999999999999,0.0684333333333333,0.2648,1159010200.0,1393812705.3278906
100,771,N,N,N,N,N,N,N,78,1순위,해당지역,556,7.13,47.0,0.1723,0.0483666666666666,0.0606333333333333,0.0262333333333333,0.3591999999999999,0.0684333333333333,0.2648,1159010200.0,1358343113.070104
