지역,법정동,거래금액_2020,거래금액_2021,거래금액_2022,거래금액_2023,거래금액_2024,거래금액_2025
서울,동자동,110000.0,,,,44000.0,
서울,동작동,129540.0,150000.0,,115000.0,111766.66666666669,162000.0
서울,둔촌동,93865.90909090907,60000.0,,98540.0,104083.33333333331,108499.45454545454
서울,등촌동,79295.0,82220.0,63500.0,66494.11764705883,70645.45454545454,75146.15384615384
서울,마곡동,97698.07692307692,130200.0,110328.57142857143,101611.11111111112,116818.18181818182,123000.0
서울,마장동,92602.38095238096,125000.0,,87571.42857142857,100866.66666666669,103600.0
서울,마천동,74658.33333333333,52316.66666666666,,82000.0,92500.0,107000.0
서울,마포동,90333.33333333331,,,52000.0,,93500.0
서울,만리동1가,82000.0,,,,,143000.0
서울,만리동2가,151000.0,183000.0,145000.0,143100.0,175000.0,166000.0
서울,망우동,41720.0,50900.0,31000.0,62666.66666666666,52200.0,61014.28571428572
서울,망원동,72441.66666666667,70400.0,34800.0,69260.0,130500.0,98125.0
서울,면목동,58877.77777777778,63470.0,47725.0,60546.66666666666,59957.142857142855,84304.34782608696
서울,명륜1가,84000.0,,,,,
서울,명륜2가,98200.0,112500.0,,,122500.0,65000.0
서울,명일동,114918.54166666669,148450.0,98833.33333333331,113436.36363636365,132017.5,125813.95348837208
서울,목동,134851.19047619047,144833.33333333334,86277.77777777778,141256.66666666666,158279.5918367347,146650.0
서울,무악동,120818.0,138000.0,75000.0,139000.0,123500.0,132844.61538461538
서울,묵동,69147.22222222222,87857.14285714286,58000.0,50508.333333333336,63665.38461538462,72776.92307692308
서울,묵정동,42900.0,,,,50200.0,
서울,문래동2가,,,,85000.0,86000.0,
서울,문래동3가,119275.0,147500.0,,,125342.85714285714,96771.42857142857
서울,문래동4가,71900.0,100500.0,,94000.0,79800.0,94000.0
서울,문래동5가,82671.42857142857,,,,73040.0,96450.0
서울,문래동6가,71114.28571428571,79550.0,,65000.0,73125.0,64500.0
서울,문배동,122668.42105263156,59360.0,134000.0,103600.0,157000.0,126500.0
서울,문정동,161501.69491525425,120000.0,136666.66666666666,159288.23529411765,137642.85714285713,162476.4705882353
서울,미아동,77066.11570247934,47700.0,59277.77777777778,61416.66666666666,70720.68965517242,68737.75510204081
서울,반포동,281513.19587628864,391846.1538461539,384500.0,367576.9230769231,467935.1351351352,433842.5925925926
서울,방배동,180385.29411764705,164384.0,145120.0,180093.33333333334,204268.75,203671.5909090909
서울,방이동,176392.3076923077,117400.0,171500.0,185714.2857142857,216989.5833333333,208368.75
서울,방학동,48189.375,56030.769230769234,60000.0,53487.5,49125.0,44222.22222222222
서울,방화동,57395.27027027027,48590.90909090909,36400.0,52741.66666666666,54867.77777777778,52506.06060606061
서울,번동,55491.379310344826,67500.0,,50925.0,47872.22222222222,42128.125
서울,보광동,181333.3333333333,,100000.0,,280000.0,234166.66666666663
서울,보문동1가,,,,,141000.0,107000.0
서울,보문동2가,50000.0,,,,,
서울,보문동3가,101850.0,,,73000.0,,86000.0
서울,보문동6가,92466.66666666669,,,85250.0,,89361.11111111111
서울,본동,113587.5,122750.0,120500.0,108775.0,114625.0,114363.63636363635
서울,봉천동,81756.35036496351,73150.0,70958.33333333333,57241.66666666666,79668.8679245283,86429.22077922078
서울,부암동,46500.0,,,,,
서울,북가좌동,117737.5,53250.0,97000.0,93333.33333333331,73312.5,114807.14285714286
서울,북아현동,139840.9090909091,141538.88888888888,100000.0,103266.66666666669,54775.5974025974,127227.77777777778
서울,불광동,77750.0,59912.5,49666.66666666666,68500.0,51100.0,73285.18518518518
서울,사근동,50000.0,,,16400.0,16950.0,45116.66666666666
서울,사당동,103641.66666666669,123250.0,65400.0,112678.57142857143,101243.75,109498.57142857143
서울,사직동,142500.0,,,179000.0,,209500.0
서울,산천동,110554.54545454546,106000.0,90000.0,103333.33333333331,103500.0,104700.0
